Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
620000,0.85801536,1.944400015913157,215.15555555555557,0.4857716,1.944399977144268
630000,0.84414047,1.9099333492573352,218.2888888888889,0.49645784,1.9099333393904898
640000,0.8571002,1.3824107269091266,177.67857142857142,0.49081,1.382410726243896
650000,0.8412199,1.7031200150819494,198.28,0.51554257,1.7031199361383915
660000,0.8404375,2.9126857356334637,281.57142857142856,0.53080726,2.924647053374964
670000,0.84286743,2.883235316107269,264.2352941176471,0.5579234,2.872457108753068
680000,0.85649896,2.702500020619482,250.0,0.57141936,2.702499982546128
690000,0.8387369,2.4751666866003585,241.02777777777777,0.6242004,2.4751665809502206
700000,0.8506975,3.422756780904869,296.5405405405405,0.71957266,3.4227567184213044
710000,0.8526455,3.972666694398504,329.1,0.75665444,3.972666551545262
720000,0.86525464,2.993750021126794,273.6666666666667,0.74322593,2.9937499773999057
730000,0.8534576,3.9880000285005996,345.42857142857144,0.8459916,3.9880000427365303
740000,0.863237,3.3143871208885685,310.64516129032256,0.87981707,3.314387014436145
750000,0.87944984,3.574166692964112,339.03333333333336,0.8346789,3.5741666076083978
760000,0.8557817,3.0991875236068154,304.46875,0.8650511,3.099187485873699
770000,0.8614385,4.015428599286159,354.7857142857143,0.86970687,4.015428545751742
780000,0.8408985,3.7267666934834174,329.53333333333336,0.9175064,3.7267666875074306
790000,0.8590336,3.519033357799829,318.9,0.9122102,3.519033306837082
800000,0.86721575,3.8460000262337934,342.9642857142857,0.948889,3.8459999545344283
810000,0.850229,7.475058868993074,590.1764705882352,0.958077,7.475058723898495
820000,0.84576255,4.194250027948458,358.82142857142856,0.9536038,4.194249967778368
830000,0.8538859,4.420375032059383,375.875,0.9349214,4.420374893583357
840000,0.8573791,5.853590949972965,479.3181818181818,0.9216339,5.853590903803706
850000,0.86183614,6.906611154916593,519.9444444444445,0.9159949,6.906610929924581
860000,0.8611888,6.083809565392412,493.5238095238095,0.922426,6.083809539675713
870000,0.84892994,3.249545479013415,301.4848484848485,0.9236603,3.2495454278859226
880000,0.8553634,4.436153876272818,377.3076923076923,0.9120626,4.436153755738185
890000,0.8466219,4.062192336306907,346.3076923076923,0.91895133,4.0621921712389355
900000,0.8402202,5.110545490688475,443.95454545454544,0.9346593,5.1105453924021935
910000,0.8448544,6.358750041772145,504.4,0.92642504,6.358749948628247
920000,0.84575456,3.2004242660513036,304.93939393939394,0.94328535,3.2004241864338066
930000,0.843316,6.240700043574907,514.7,0.9947772,6.552999916437425
940000,0.8360653,3.1525937750338926,292.375,0.9641603,3.0663634750879174
950000,0.83479613,4.916958367204643,427.125,0.98202205,4.9169583059847355
960000,0.8149894,3.964821456690385,349.0,1.0076491,3.964821391605905
